Source_ID,Target_ID,Relationship,Weight,Shape
270,280,Contexto estratégico,0.3,cambiante
270,300,Contexto estratégico,0.3,cambiante
270,345,Contexto estratégico,0.3,cambiante
270,346,Contexto estratégico,0.3,cambiante
271,272,Trayectoria probable,0.5,cambiante
271,273,Trayectoria probable,0.5,cambiante
272,273,Trayectoria probable,0.5,cambiante
272,274,Trayectoria probable,0.5,cambiante
273,274,Trayectoria probable,0.5,cambiante
275,276,Trayectoria probable,0.5,cambiante
275,277,Trayectoria probable,0.5,cambiante
275,278,Trayectoria probable,0.5,cambiante
276,277,Trayectoria probable,0.5,cambiante
276,278,Trayectoria probable,0.5,cambiante
276,279,Trayectoria probable,0.5,cambiante
277,278,Trayectoria probable,0.5,cambiante
277,279,Trayectoria probable,0.5,cambiante
278,279,Trayectoria probable,0.5,cambiante
279,280,Trayectoria probable,0.5,cambiante
280,281,Trayectoria probable,0.5,cambiante
280,282,Trayectoria probable,0.5,cambiante
280,300,Contexto estratégico,0.3,cambiante
280,345,Contexto estratégico,0.3,cambiante
280,346,Contexto estratégico,0.3,cambiante
281,282,Trayectoria probable,0.5,cambiante
283,284,Trayectoria probable,0.5,cambiante
283,285,Trayectoria probable,0.5,cambiante
283,286,Trayectoria probable,0.5,cambiante
284,285,Trayectoria probable,0.5,cambiante
284,286,Trayectoria probable,0.5,cambiante
285,286,Trayectoria probable,0.5,cambiante
285,287,Trayectoria probable,0.5,cambiante
285,288,Trayectoria probable,0.5,cambiante
286,287,Trayectoria probable,0.5,cambiante
286,288,Trayectoria probable,0.5,cambiante
287,288,Trayectoria probable,0.5,cambiante
287,289,Trayectoria probable,0.5,cambiante
288,289,Trayectoria probable,0.5,cambiante
288,290,Trayectoria probable,0.5,cambiante
288,291,Trayectoria probable,0.5,cambiante
289,290,Trayectoria probable,0.5,cambiante
289,291,Trayectoria probable,0.5,cambiante
290,291,Trayectoria probable,0.5,cambiante
292,293,Trayectoria probable,0.5,cambiante
292,294,Trayectoria probable,0.5,cambiante
293,294,Trayectoria probable,0.5,cambiante
300,345,Contexto estratégico,0.3,cambiante
300,346,Contexto estratégico,0.3,cambiante
300,388,Contexto estratégico,0.3,cambiante
313,314,Trayectoria probable,0.5,cambiante
313,315,Trayectoria probable,0.5,cambiante
313,316,Trayectoria probable,0.5,cambiante
314,315,Trayectoria probable,0.5,cambiante
314,316,Trayectoria probable,0.5,cambiante
315,316,Trayectoria probable,0.5,cambiante
318,319,Trayectoria probable,0.5,cambiante
318,320,Trayectoria probable,0.5,cambiante
319,320,Trayectoria probable,0.5,cambiante
320,321,Trayectoria probable,0.5,cambiante
322,323,Trayectoria probable,0.5,cambiante
331,332,Trayectoria probable,0.5,cambiante
332,333,Trayectoria probable,0.5,cambiante
332,334,Trayectoria probable,0.5,cambiante
333,334,Trayectoria probable,0.5,cambiante
335,336,Trayectoria probable,0.5,cambiante
336,337,Trayectoria probable,0.5,cambiante
